Date,Price,Open,High,Low,Vol.,Change %
Nov 98,292.5,292.5,297,291,25.72K,-0.0007
Dec 98,288.1,292,296.2,285.5,4.77K,-0.015
Jan 99,286.3,289,289,282.1,26.57K,-0.0062
Feb 99,287.5,286.8,292.5,285.5,5.04K,0.0042
Mar 99,279.8,285,293,278.2,7.34K,-0.0268
Apr 99,286.8,280.4,285.3,277.5,2.22K,0.025
May 99,270.4,285,285,267.9,31.40K,-0.0572
Jun 99,263.1,266.8,268.5,258.6,4.70K,-0.027
Jul 99,256.9,257.3,258.2,252.9,26.99K,-0.0236
Aug 99,255.8,256.8,262.7,252.5,7.25K,-0.0043
Sep 99,297.9,255.5,320,254.1,1.30K,0.1646
Oct 99,299.2,297.9,327.5,296,0.55K,0.0044
Nov 99,290.1,290.8,299.7,289,26.89K,-0.0304
Dec 99,288.5,290.8,291.5,275,4.59K,-0.0055
Jan 00,283.2,281,288,280.5,16.98K,-0.0184
Feb 00,292.4,282.3,322,282.2,2.67K,0.0325
Mar 00,278.4,275,279.8,274.5,15.49K,-0.0479
Apr 00,273.1,278.4,289.5,274,1.57K,-0.019
May 00,271.7,272.7,274.4,271.3,27.36K,-0.0051
Jun 00,290.1,272,292.5,271.8,3.48K,0.0677
Jul 00,276.8,278.5,279,276,28.66K,-0.0458
Aug 00,278.3,276,279,271,3.15K,0.0054
Sep 00,273.6,277.5,277.5,272,4.27K,-0.0169
Oct 00,264.9,272.8,275,264.5,0.34K,-0.0318
Nov 00,270.1,265.2,270.2,265.2,31.66K,0.0196
Dec 00,272,269.7,276,268,2.48K,0.007
Jan 01,265.6,262.9,266.6,262.9,17.24K,-0.0235
Feb 01,266.8,266.3,268.9,255,1.67K,0.0045
Mar 01,257.9,260,260.4,256.6,28.68K,-0.0334
Apr 01,264,257.2,265,255,4.32K,0.0237
May 01,265.3,274.4,275,264.2,31.74K,0.0049
Jun 01,270.6,264.7,277,264.5,1.96K,0.02
Jul 01,266.2,263.7,267.5,263.7,19.97K,-0.0163
Aug 01,274.4,266.2,280.8,265.8,2.17K,0.0308
Sep 01,292.4,289.5,294,289,2.73K,0.0656
Oct 01,279.5,291.8,292.9,274,0.96K,-0.0441
Nov 01,273.9,280.5,280.5,272.6,27.21K,-0.02
Dec 01,278.7,274.2,281.3,271.2,2.90K,0.0175
Jan 02,282.1,279,283.2,276.7,27.50K,0.0122
Feb 02,296.7,282.3,308,282.2,5.10K,0.0518
Mar 02,302.6,298,304.5,298,4.24K,0.0199
Apr 02,308.9,302.6,312.5,297.5,2.66K,0.0208
May 02,326.5,307.5,329,306.8,28.82K,0.057
Jun 02,313.5,326.6,330.3,316,6.89K,-0.0398
Jul 02,303.2,315,320.5,300.8,27.56K,-0.0329
Aug 02,312.4,303.2,318,298,4.22K,0.0303
Sep 02,323.9,312.5,324.2,312.5,4.39K,0.0368
Oct 02,318,322,322.9,309.8,3.93K,-0.0182
Nov 02,316.8,321.5,321.5,316.5,15.46K,-0.0038
Dec 02,347.6,318.1,350.5,315.5,8.25K,0.0972
Jan 03,368.3,345.2,372,345.2,7.48K,0.0596
Feb 03,350.2,368,388.9,342,7.92K,-0.0491
Mar 03,335.9,342.7,343,328.4,30.92K,-0.0408
Apr 03,339.1,336,338.4,319.3,5.20K,0.0095
May 03,364.5,339,370,339,37.94K,0.0749
Jun 03,346,362.4,370,343.4,10.49K,-0.0508
Jul 03,354,344,362,344,37.36K,0.0231
Aug 03,375.7,354.1,375,346,5.88K,0.0613
Sep 03,385.4,375,388.7,375,8.83K,0.0258
Oct 03,384.5,385.5,394,368,3.78K,-0.0023
Nov 03,396.8,382.8,402,382.8,12.77K,0.032
Dec 03,415.7,397.2,415.8,397,10.49K,0.0476
Jan 04,402.2,422.5,428.2,396.5,56.01K,-0.0325
Feb 04,396.4,403,416,392.5,5.82K,-0.0144
Mar 04,427.3,397.5,428,391.1,41.43K,0.078
Apr 04,387,427.2,432,380,6.61K,-0.0943
May 04,394,392,396.3,377,9.87K,0.0181
Jun 04,392.6,395.1,405,383,6.55K,-0.0036
Jul 04,391,397.8,397.8,385,47.09K,-0.0041
Aug 04,410.4,394,412.8,388.8,6.21K,0.0496
Sep 04,418.7,407.3,418.8,396.8,6.64K,0.0202
Oct 04,428.5,419.1,430,410.3,2.31K,0.0234
Nov 04,451.3,434,454.8,434,70.97K,0.0532
Dec 04,437.5,451.6,456.5,432.6,12.86K,-0.0306
Jan 05,421.8,431,431,418.7,48.27K,-0.0359
Feb 05,436.5,422.2,436,410.1,9.07K,0.0349
Mar 05,428.7,433.4,433.4,425.5,31.84K,-0.0179
Apr 05,435,428.3,438.2,422.7,2.58K,0.0147
May 05,416.3,416.5,420.2,413.2,58.88K,-0.043
Jun 05,435.9,416.4,442.5,414,6.99K,0.0471
Jul 05,429.9,423.5,430.5,423.5,44.50K,-0.0138
Aug 05,433.8,430,449.5,429.1,3.00K,0.0091
Sep 05,469,438.5,474,438.5,11.75K,0.0811
Oct 05,465.1,467.8,478.5,460.5,2.17K,-0.0083
Nov 05,494.6,463,502.3,455.3,48.42K,0.0634
Dec 05,517.1,494.2,538.5,490.1,12.28K,0.0455
Jan 06,570.8,518.6,572.7,518.6,42.03K,0.1038
Feb 06,561.6,571.6,575.3,535.5,10.30K,-0.0161
Mar 06,581.8,562.5,589.6,540,28.94K,0.036
Apr 06,651.8,582,642,582,8.19K,0.1203
May 06,642.5,658,723,638,56.56K,-0.0143
Jun 06,613.5,642.8,645.1,555,6.22K,-0.0451
Jul 06,634.2,624,677,624,31.59K,0.0337
Aug 06,625.9,635.4,656,609,5.03K,-0.0131
Sep 06,598.6,591,606.2,584,9.51K,-0.0436
Oct 06,604.1,598.9,608.9,560.5,6.53K,0.0092
Nov 06,646.9,612.5,648,612.5,31.48K,0.0708
Dec 06,635.2,645.7,649.5,612,3.80K,-0.0181
Jan 07,652,640.4,655.5,607,30.45K,0.0264
Feb 07,669.4,652.9,687.7,642,3.95K,0.0267
Mar 07,663,673,673,640,42.72K,-0.0096
Apr 07,680.5,665.5,692.5,656.1,4.50K,0.0264
May 07,661,673.7,673.7,651.5,58.01K,-0.0287
Jun 07,648.1,661.5,674,640,4.47K,-0.0195
Jul 07,666.9,656.8,668.3,655.7,42.41K,0.029
Aug 07,673,663.2,676.2,642.9,8.32K,0.0091
Sep 07,742.8,678.6,745.7,678.6,14.45K,0.1037
Oct 07,792,745.1,795.4,724.3,2.76K,0.0662
Nov 07,782.2,785.3,841.3,777.6,73.99K,-0.0124
Dec 07,834.9,783.9,843.2,777,7.59K,0.0674
Jan 08,922.7,848.7,936.3,846.4,74.15K,0.1052
Feb 08,972.1,924.8,973.1,884.7,8.00K,0.0535
Mar 08,916.2,984.2,1014.6,912,70.80K,-0.0575
Apr 08,862.8,915,948.7,863,13.22K,-0.0583
May 08,887.3,855,924.7,849.6,71.91K,0.0284
Jun 08,926.2,887.3,933.7,858.2,9.30K,0.0438
Jul 08,913.9,943.6,986.2,893.3,103.25K,-0.0133
Aug 08,829.3,904.9,916.1,780.9,8.86K,-0.0926
Sep 08,874.2,829.9,919,739,5.17K,0.0541
Oct 08,716.8,878,925.7,681,3.28K,-0.1801
Nov 08,816.2,728.8,824,707,60.05K,0.1387
Dec 08,883.6,817.2,882.9,740,9.30K,0.0826
Jan 09,927.3,881.5,930.3,805.6,78.17K,0.0495
Feb 09,941.5,929,1004.9,889.8,13.41K,0.0153
Mar 09,922.6,945,960.8,885,71.42K,-0.0201
Apr 09,890.7,918.6,932.5,865,17.10K,-0.0346
May 09,978.8,884,980.4,881.5,83.23K,0.0989
Jun 09,927.1,978.8,990.3,917.3,12.65K,-0.0528
Jul 09,953.7,929.3,958.1,905.6,48.33K,0.0287
Aug 09,951.7,952.6,971.1,931.5,7.37K,-0.0021
Sep 09,1008,954.2,1019.8,948.7,8.65K,0.0592
Oct 09,1039.7,1007.4,1070.2,986.8,3.43K,0.0314
Nov 09,1181.1,1043.5,1195,1043.5,127.74K,0.136
Dec 09,1095.2,1181,1226.4,1075,23.25K,-0.0727
Jan 10,1083,1097.1,1161.2,1073.2,113.97K,-0.0111
