Date,Open,High,Low,Close,Adj Close,Volume
1999-11-26,36.605152,37.973801,36.082577,37.177498,35.808983,4645958
1999-11-29,37.824493,38.073341,35.136963,35.560001,34.251034,10477139
1999-11-30,35.883499,39.218029,35.336040,37.774727,36.384228,39170662
1999-12-01,37.625420,38.794991,37.401459,38.571030,37.151218,10590915
1999-12-02,38.496376,39.466873,37.724957,39.417107,37.966152,4616070
1999-12-03,40.512024,40.661331,39.168259,39.989449,38.517422,5741266
1999-12-06,40.213409,42.253941,39.292683,42.054867,40.506817,4989796
1999-12-07,42.353481,48.574615,40.512024,48.226231,46.451008,7831671
1999-12-08,45.887085,46.982002,44.394012,45.936852,44.245911,9594814
1999-12-09,47.479694,47.678772,41.407867,43.249325,41.657307,8197611
1999-12-10,44.966354,45.041012,40.711102,43.697247,42.088737,4892597
1999-12-13,44.244705,44.941471,43.448399,44.194935,42.568108,3285173
1999-12-14,44.344242,44.593086,42.453018,42.900940,41.321739,3462994
1999-12-15,42.403248,43.000477,39.018951,42.229057,40.674587,9515699
1999-12-16,42.378365,47.554348,42.353481,46.434544,44.725273,4905908
1999-12-17,48.997650,49.445572,45.787544,49.246494,47.433712,7064126
1999-12-20,50.167225,50.366299,46.135929,46.335007,44.629398,6166229
1999-12-21,47.778309,51.710064,46.384773,51.461220,49.566910,5076948
1999-12-22,51.759834,51.759834,48.674152,49.370918,47.553558,3677987
1999-12-23,49.968147,50.465839,47.579231,48.922997,47.122128,3075454
1999-12-27,49.818840,49.918381,47.081543,47.156197,45.420361,4615316
1999-12-28,47.778309,49.171844,46.733158,48.176460,46.403072,3466008
1999-12-29,48.176460,49.569996,47.877846,49.370918,47.553558,1456728
1999-12-30,49.943264,50.167225,48.126694,48.599499,46.810535,2522902
1999-12-31,49.818840,49.818840,48.275997,48.972767,47.170071,1308795
2000-01-03,51.859371,51.958912,48.674152,51.013298,49.135487,5778187
2000-01-04,50.167225,50.664913,48.275997,48.499962,46.714661,3463999
2000-01-05,48.027153,48.176460,44.941471,45.712891,44.030182,6364897
2000-01-06,46.185699,46.733158,41.806019,41.806019,40.267124,5671946
2000-01-07,40.810638,44.692627,39.815258,44.443783,42.807785,6947839
2000-01-10,46.957119,50.764454,45.936852,49.495342,47.673405,3670703
2000-01-11,48.325768,49.669533,44.991241,45.787544,44.102093,4444025
2000-01-12,46.011505,48.375538,43.896320,48.027153,46.259258,4731352
2000-01-13,49.395802,50.416069,47.728539,48.475075,46.690693,5085739
2000-01-14,50.067684,55.616936,49.569996,53.974560,51.987740,11580485
2000-01-18,53.999443,62.659260,52.854755,60.743153,58.507179,8206151
2000-01-19,61.116421,63.953259,57.333969,61.713650,59.441944,9070895
2000-01-20,63.704411,65.595634,58.329353,58.428890,56.278103,7455685
2000-01-21,59.797539,60.867573,58.204929,59.548695,57.356682,5221365
2000-01-24,61.514572,61.514572,55.094360,55.592052,53.545689,5626737
2000-01-25,56.189281,56.338589,53.302677,55.766247,53.713470,4296594
2000-01-26,55.791130,56.985588,54.347824,55.567169,53.521732,4275497
2000-01-27,55.990204,57.881432,53.875019,55.044594,53.018383,3725959
2000-01-28,54.497131,55.716476,52.655678,53.700829,51.724075,3661662
2000-01-31,52.954292,54.696209,49.097191,54.646442,52.634884,4844123
2000-02-01,54.795750,56.686974,51.809605,56.686974,54.600311,3392167
2000-02-02,56.736740,59.125656,56.139511,56.935818,54.839993,4404844
2000-02-03,57.806778,61.116421,57.035355,60.195690,57.979866,6249363
2000-02-04,61.315495,63.604874,60.121037,61.141304,58.890671,5265067
2000-02-07,62.310879,63.505337,59.349617,63.356030,61.023872,2971474
2000-02-08,64.401176,67.984550,63.704411,67.586395,65.098511,5871116
2000-02-09,68.755974,72.414001,67.088707,69.763794,67.195763,5550636
2000-02-10,71.169769,72.861923,68.880394,72.158936,69.502747,3966821
2000-02-11,72.165154,72.687729,68.880394,70.012642,67.435455,3891975
2000-02-14,70.970695,71.070236,66.889633,69.378082,66.824249,3938691
2000-02-15,69.179008,69.527390,66.491478,68.084091,65.577896,3094794
2000-02-16,67.399765,71.667465,66.093330,66.939400,64.475342,5631510
2000-02-17,67.586395,70.473007,66.093330,70.174393,67.591255,4217479
2000-02-18,71.567924,71.567924,68.482239,68.880394,66.344872,3159342
2000-02-22,69.378082,71.966080,66.292404,66.989166,64.523262,3043557
2000-02-23,68.283165,75.151299,66.491478,71.120003,68.502068,3875148
2000-02-24,75.648987,77.241600,71.667465,76.843445,74.014809,4227525
2000-02-25,78.585365,84.594978,76.893211,79.680283,76.747231,5330620
2000-02-28,80.924507,83.400520,73.459152,82.069199,79.048210,4618958
2000-02-29,83.462730,86.697723,82.268272,83.960426,80.869812,3387395
2000-03-01,84.408348,84.906036,81.521736,82.815735,79.767265,2638436
2000-03-02,82.367813,82.367813,76.743912,77.440674,74.590065,3214095
2000-03-03,81.223122,85.602806,78.734673,84.607422,81.492989,6151662
2000-03-06,85.801880,95.357544,84.010193,94.411926,90.936600,5621714
2000-03-07,96.452461,97.398071,87.394493,89.982483,86.670204,5379596
2000-03-08,92.470932,92.520706,83.612038,85.752113,82.595543,4594847
2000-03-09,86.498650,88.987099,82.019432,86.448875,83.266663,3399827
2000-03-10,86.697723,87.991714,84.010193,85.602806,82.451729,3763256
2000-03-13,82.019432,84.358574,80.824974,81.969658,78.952324,3548263
2000-03-14,83.811119,86.399109,78.436058,78.436058,75.548813,3878915
2000-03-15,80.526360,80.576126,67.835243,70.174393,67.591255,8272583
2000-03-16,72.463768,78.535599,66.093330,78.037903,75.165314,8799391
2000-03-17,77.540215,82.417580,75.250839,78.336517,75.452927,4148535
2000-03-20,78.635132,82.815735,75.499680,75.648987,72.864319,4646586
2000-03-21,75.449913,77.540215,68.880394,76.743912,73.918945,6818994
2000-03-22,76.047142,76.843445,72.861923,73.558685,70.850975,3964435
2000-03-23,71.368851,76.246216,70.323700,71.667465,69.029350,4603009
2000-03-24,73.558685,82.019432,73.260071,78.037903,75.165314,5142752
2000-03-27,78.983513,84.906036,78.635132,80.526360,77.562164,3149546
2000-03-28,80.824974,82.019432,75.250839,75.250839,72.480835,3064026
2000-03-29,78.137444,78.137444,67.138474,68.382706,65.865501,6715516
2000-03-30,66.889633,68.084091,52.357063,57.433510,55.319370,25251626
2000-03-31,61.066650,61.066650,51.759834,52.755215,50.813278,13928580
2000-04-03,54.347824,58.727505,51.361683,52.954292,51.005032,13090459
2000-04-04,54.148750,54.945053,41.407867,51.859371,49.950413,12731552
2000-04-05,49.420689,56.288818,48.574615,54.347824,52.347263,7883912
2000-04-06,57.134895,60.121037,56.139511,56.487896,54.408558,6784711
2000-04-07,59.125656,62.111801,58.329353,61.813187,59.537819,4336529
2000-04-10,66.541252,68.283165,63.704411,66.640785,64.187714,10252979
2000-04-11,63.654640,67.287788,59.623348,63.505337,61.167686,7342035
2000-04-12,63.704411,63.803951,54.098980,54.745979,52.730759,5473655
2000-04-13,56.836281,57.035355,47.380157,47.579231,45.827824,7899484
2000-04-14,45.190315,46.982002,41.358097,43.199554,41.609367,9494476
2000-04-17,38.222649,50.167225,38.222649,47.181080,45.444336,8868334
2000-04-18,49.221611,53.252907,49.171844,52.655678,50.717403,5175529
2000-04-19,54.945053,55.990204,50.366299,51.958912,50.046288,5662277
2000-04-20,49.470455,49.470455,40.312946,41.606945,40.075378,20647738
2000-04-24,40.561794,40.561794,36.231884,36.878883,35.521362,7359867
2000-04-25,39.815258,46.185699,39.815258,45.936852,44.245911,8114980
2000-04-26,45.887085,46.583851,41.109253,42.403248,40.842369,7856410
2000-04-27,38.919415,45.737778,38.919415,44.742393,43.095417,6926742
2000-04-28,46.434544,48.972767,46.235466,48.624382,46.834507,6326344
2000-05-01,50.913761,51.660297,43.896320,44.593086,42.951599,8936775
2000-05-02,44.394012,44.642857,38.620800,38.720337,37.295033,16378520
2000-05-03,38.770107,38.770107,33.494583,35.485348,34.179119,16332432
2000-05-04,36.729576,37.924030,35.236504,36.231884,34.898182,8546347
2000-05-05,36.231884,37.326805,34.042046,34.539738,33.268314,7848750
2000-05-08,33.942509,36.132347,32.648510,34.987656,33.699749,7538442
2000-05-09,35.435577,35.435577,31.901976,32.698280,31.494646,9664888
2000-05-10,32.001514,36.032806,30.856825,34.241119,32.980694,10496479
2000-05-11,36.132347,38.720337,34.639275,38.023571,36.623917,12646659
2000-05-12,39.566414,42.303711,39.018951,41.905560,40.363007,14230600
2000-05-15,41.457638,41.606945,38.770107,41.308331,39.787754,5529162
2000-05-16,43.299091,43.995857,39.815258,42.303711,40.746494,6540583
2000-05-17,41.159023,44.891705,40.213409,43.137344,41.549446,6861566
2000-05-18,44.194935,44.593086,40.014332,40.064102,38.589333,3735252
2000-05-19,38.571030,40.263180,38.222649,38.272415,36.863598,3277638
2000-05-22,38.371956,38.620800,33.345280,36.132347,34.802299,5388512
2000-05-23,36.630035,39.417107,35.833733,35.983040,34.658489,5204914
2000-05-24,36.530499,39.516644,33.992275,39.367336,37.918213,5801419
2000-05-25,39.491756,39.591297,35.037426,35.485348,34.179119,10079176
2000-05-26,35.833733,37.625420,35.833733,37.127728,35.761044,4479690
2000-05-30,38.421722,41.507404,38.172878,41.159023,39.643944,5100181
2000-05-31,40.760872,42.602325,39.417107,41.905560,40.363007,5803680
2000-06-01,42.851170,43.747013,42.005096,42.502789,40.938248,3775186
2000-06-02,45.289856,47.181080,44.593086,46.534081,44.821148,6104569
2000-06-05,46.285236,49.271381,46.185699,48.325768,46.546879,6295074
2000-06-06,48.400421,50.167225,43.796783,43.995857,42.376358,4836211
2000-06-07,44.344242,47.678772,44.244705,47.529465,45.779888,3035771
2000-06-08,46.384773,46.434544,39.815258,41.059483,39.548069,20013182
2000-06-09,40.810638,41.009716,32.349895,32.797817,31.590519,63166112
2000-06-12,22.197006,22.445850,17.269869,17.717789,17.065592,118796545
2000-06-13,18.016403,20.455088,17.916866,19.857861,19.126886,65426803
2000-06-14,20.355551,20.554626,18.912247,19.011786,18.311958,21439143
2000-06-15,19.111322,19.111322,17.618252,17.867098,17.209402,13651676
2000-06-16,18.762939,18.762939,16.921484,17.468945,16.825907,14552713
2000-06-19,17.568481,17.916866,16.573101,16.921484,16.298599,14791817
2000-06-20,17.170330,17.269869,15.975872,16.274487,15.675416,12503247
2000-06-21,16.025640,16.324255,15.577719,15.727027,15.148109,10904614
2000-06-22,15.776796,18.713171,15.727027,18.115942,17.449091,22527168
2000-06-23,17.966635,18.215481,14.632107,14.880952,14.333179,34539523
2000-06-26,16.174948,16.921484,15.229336,15.527950,14.956362,15261110
2000-06-27,15.764353,15.926103,15.129798,15.179567,14.620803,8641788
2000-06-28,15.378643,15.926103,15.030260,15.179567,14.620803,9392882
2000-06-29,15.229336,15.428412,13.935340,14.681876,14.141432,11007715
2000-06-30,14.930721,15.776796,14.731645,15.080029,14.524929,6519737
2000-07-03,15.478181,15.527950,14.781414,15.030260,14.476991,3170518
2000-07-05,15.080029,15.080029,14.233954,14.333493,13.805873,5557668
2000-07-06,14.383262,15.279105,14.134416,15.229336,14.668739,7985758
2000-07-07,16.274487,17.170330,16.075411,16.374025,15.771290,17371858
2000-07-10,16.871716,17.269869,16.573101,16.821945,16.202724,10034721
2000-07-11,16.921484,17.220098,16.125179,16.324255,15.723351,7194604
2000-07-12,16.921484,17.120562,16.672640,16.971252,16.346535,6296204
2000-07-13,17.021023,17.070791,16.523333,16.622869,16.010977,5210942
2000-07-14,17.070791,17.419174,16.871716,16.921484,16.298599,5983259
2000-07-17,17.269869,18.912247,17.120562,18.364786,17.688770,10985613
2000-07-18,18.315018,19.708551,17.867098,18.414557,17.736708,13761559
2000-07-19,18.414557,18.414557,17.319637,17.618252,16.969719,6786846
2000-07-20,14.681876,15.378643,14.184185,14.532569,13.997623,26726187
2000-07-21,14.283724,14.632107,13.537187,13.686495,13.182690,9039248
2000-07-24,13.885571,13.910455,12.392499,12.492037,12.032201,11709582
2000-07-25,12.989728,13.039497,12.143653,12.442268,11.984262,9892565
2000-07-26,12.591575,13.139035,12.342730,12.591575,12.128075,10200361
2000-07-27,12.641344,12.691113,11.745501,11.994346,11.552828,7620194
2000-07-28,12.044115,12.143653,11.845039,12.044115,11.600768,7245087
2000-07-31,12.541806,12.591575,11.745501,12.143653,11.696639,6285656
2000-08-01,12.044115,12.044115,11.397117,11.397117,10.977586,7606632
2000-08-02,11.645963,12.591575,11.446886,11.745501,11.313146,8827144
