Date,Open,High,Low,Close
2017.11.16 00:00,1.31712,1.3207,1.31345,1.31915
2017.11.17 00:00,1.31918,1.32598,1.31693,1.32163
2017.11.20 00:00,1.32124,1.3279,1.31855,1.3236
2017.11.21 00:00,1.3236,1.32668,1.32088,1.32405
2017.11.22 00:00,1.3241,1.33288,1.3213,1.33225
2017.11.23 00:00,1.33223,1.3336,1.32838,1.33085
2017.11.24 00:00,1.33085,1.3359,1.3278,1.33315
2017.11.27 00:00,1.3327,1.33825,1.3307,1.3319
2017.11.28 00:00,1.3319,1.33865,1.322,1.33603
2017.11.29 00:00,1.33599,1.34475,1.33485,1.34115
2017.11.30 00:00,1.34115,1.3548,1.34088,1.35143
2017.12.01 00:00,1.35145,1.35488,1.3445,1.347
2017.12.04 00:00,1.34739,1.3538,1.34125,1.34755
2017.12.05 00:00,1.34751,1.3477,1.33698,1.3419
2017.12.06 00:00,1.34187,1.34358,1.3357,1.33785
2017.12.07 00:00,1.3379,1.34845,1.33195,1.34765
2017.12.08 00:00,1.34765,1.35198,1.3355,1.33893
2017.12.11 00:00,1.33879,1.3431,1.33303,1.3341
2017.12.12 00:00,1.3341,1.3379,1.33028,1.33155
2017.12.13 00:00,1.33152,1.34288,1.3311,1.34115
2017.12.14 00:00,1.34118,1.34648,1.33915,1.34235
2017.12.15 00:00,1.34242,1.3447,1.33013,1.33283
2017.12.18 00:00,1.3319,1.3418,1.33096,1.33794
2017.12.19 00:00,1.33794,1.34013,1.33305,1.33865
2017.12.20 00:00,1.33865,1.34193,1.33668,1.33714
2017.12.21 00:00,1.33714,1.33867,1.33313,1.33818
2017.12.22 00:00,1.33826,1.33963,1.33557,1.33639
2017.12.26 00:00,1.33724,1.33885,1.3347,1.33738
2017.12.27 00:00,1.33738,1.3429,1.3367,1.3401
2017.12.28 00:00,1.3401,1.34558,1.33977,1.34295
2017.12.29 00:00,1.34298,1.35431,1.34298,1.34996
2018.01.02 00:00,1.35216,1.35995,1.35172,1.35898
2018.01.03 00:00,1.359,1.3612,1.34944,1.3511
2018.01.04 00:00,1.3511,1.3559,1.35048,1.35477
2018.01.05 00:00,1.35483,1.35818,1.35228,1.35668
2018.01.08 00:00,1.35711,1.35848,1.35222,1.3569
2018.01.09 00:00,1.3569,1.35818,1.3506,1.35401
2018.01.10 00:00,1.354,1.35615,1.3481,1.35067
2018.01.11 00:00,1.3507,1.3554,1.34575,1.35385
2018.01.12 00:00,1.35375,1.37358,1.35355,1.37308
2018.01.15 00:00,1.3739,1.3819,1.37295,1.37947
2018.01.16 00:00,1.37952,1.3805,1.37414,1.3787
2018.01.17 00:00,1.37873,1.3942,1.37562,1.38071
2018.01.18 00:00,1.3807,1.39127,1.38042,1.38927
2018.01.19 00:00,1.3893,1.39445,1.38385,1.38625
2018.01.22 00:00,1.3888,1.399,1.38565,1.3983
2018.01.23 00:00,1.39827,1.40263,1.39155,1.4001
2018.01.24 00:00,1.40013,1.4262,1.39965,1.42403
2018.01.25 00:00,1.424,1.43446,1.40827,1.41105
2018.01.26 00:00,1.41105,1.42865,1.41105,1.4146
2018.01.29 00:00,1.4142,1.41577,1.40249,1.40703
2018.01.30 00:00,1.40703,1.41661,1.39794,1.41503
2018.01.31 00:00,1.41479,1.4232,1.41214,1.4196
2018.02.01 00:00,1.4196,1.42775,1.41589,1.42625
2018.02.02 00:00,1.4263,1.42774,1.4101,1.41217
2018.02.05 00:00,1.40941,1.415,1.39539,1.39665
2018.02.06 00:00,1.3967,1.3999,1.38357,1.3957
2018.02.07 00:00,1.39565,1.39929,1.38479,1.38713
2018.02.08 00:00,1.38711,1.40661,1.38452,1.39205
2018.02.09 00:00,1.39204,1.39867,1.37639,1.38207
2018.02.12 00:00,1.3823,1.38752,1.3796,1.38365
2018.02.13 00:00,1.38363,1.39237,1.38318,1.3886
2018.02.14 00:00,1.3886,1.40163,1.37997,1.40043
2018.02.15 00:00,1.40043,1.41035,1.39948,1.40904
2018.02.16 00:00,1.4091,1.41444,1.39961,1.40112
2018.02.19 00:00,1.40327,1.4049,1.39583,1.3996
2018.02.20 00:00,1.3996,1.40238,1.39306,1.39953
2018.02.21 00:00,1.39951,1.4008,1.39042,1.39075
2018.02.22 00:00,1.3908,1.39882,1.38563,1.39554
2018.02.23 00:00,1.39554,1.40045,1.39048,1.39663
2018.02.26 00:00,1.39659,1.40695,1.39277,1.39643
2018.02.27 00:00,1.39645,1.3996,1.38572,1.3909
2018.02.28 00:00,1.39087,1.39158,1.37528,1.37558
