EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
128628068,GB / Ling 5th Dec,5f Hcap,05-12-2016 14:30,6310864,Sir Maximilian,0,16.76775099988503,13.091106855162470281634011128207506474,10.2751297875293929305896472002853046574,17,8.4,1000,15.5,1914.66,35958.28,684.14
128628078,GB / Ling 5th Dec,6f Hcap,05-12-2016 15:30,4613307,Cruise Tothelimit,0,7.293210246754532,7.53746389524303914463304374643474727766,7.38509086399371371387208821594028898333,8.6,6.6,980,3,818.98,65458.32,6379.8
128628078,GB / Ling 5th Dec,6f Hcap,05-12-2016 15:30,4733118,Catalinas Diamond,0,10.392425405209249,11.3636110128437727449769697898407893053,14.1075617537581889674736951162571802757,15,9.6,980,5.5,349.38,38287.96,1973.04
128628078,GB / Ling 5th Dec,6f Hcap,05-12-2016 15:30,11742165,Indiana Dawn,0,40,38.0356360367679512540313997688887492401,29.0864852268289840730945355248512536796,60,32,1000,34,85.38,11178.52,220.74
128628650,GB / Ayr 5th Dec,2m4f Nov Hrd,05-12-2016 12:10,10873793,Knocklayde,0,225.84294065829945,138.7688265193846361952366019722767003,43.7425095568670450169097627354890370611,270,28,1000,130,291.88,2249.5,194.94
128628650,GB / Ayr 5th Dec,2m4f Nov Hrd,05-12-2016 12:10,10889400,Medal of Freedom,0,50,66.1177805926770917305895886287963840142,88.3074402742196000717353709802224272876,120,44,1000,12,142.24,4759.84,2596.54
128628660,GB / Ayr 5th Dec,2m3f Hcap Hrd,05-12-2016 13:15,9461242,Mcgintys Dream,0,38,54.6369698367261453989942987142936106007,56.9535228072361022863754812192674574438,85,30,1000,7.2,15.18,8319.68,7089.7
128628670,GB / Ayr 5th Dec,2m4f Hcap Chs,05-12-2016 14:20,9281240,Sky Full of Stars,0,15.716847272687009,16.1893171822903921095305472187959377795,14.8466099306163389802575856428467272163,19.5,14.5,1000,4.5,423.42,25262.88,9584.26
128628670,GB / Ayr 5th Dec,2m4f Hcap Chs,05-12-2016 14:20,9310982,King of The Dark,0,30,27.7001251740641626962437704505028797607,19.9308861370189843054480666732390255924,36,20,1000,16,119.08,10502.52,1758.46
128628680,GB / Ayr 5th Dec,2m NHF,05-12-2016 15:20,12151026,Dreaming The Dream,0,765.8032907717479,826.057353743446688485077175440276736058,163.875889826021292987347263827842396905,1000,190,1000,400,13.46,722.68,65.84
128628680,GB / Ayr 5th Dec,2m NHF,05-12-2016 15:20,12190565,Fernan,0,3.6852137167965617,4.35287558178472478213421424360599715026,4.57547254956592634344799595558626190831,5.4,3.75,1000,2.4,627.9,167398.1,25446.9
128628680,GB / Ayr 5th Dec,2m NHF,05-12-2016 15:20,12190564,Bruichladdich,0,22,19.0449907486453777891175747806642627724,13.244038886056754600484634863646412929,23,13.5,1000,9,54.28,12303.38,3449.32
128628058,GB / Ling 5th Dec,6f Sell Stks,05-12-2016 13:25,10987256,Spin Top,0,16.59127000510926,17.12422336578754683639464694140695774,16.3597221323402326894056601112347479725,21,15.5,1000,3.55,36.64,19381.86,5574.1
128628058,GB / Ling 5th Dec,6f Sell Stks,05-12-2016 13:25,11549447,Gracious Tom,1,5.232085984192417,5.22330283483313151354137191460148156843,7.02942627016167949099902589426714367011,7.38,4.9,80,1.01,1251.24,101923.08,62160.14
128628063,GB / Ling 5th Dec,1m2f Hcap,05-12-2016 13:55,9612932,Alinstante,0,17.221168429172856,16.1311014178780549025006974256244102546,10.3572132319738916078291376987713198047,21,9.02,1000,17,1305.84,24224.78,2097.04
128628043,GB / Ling 5th Dec,1m2f Mdn Stks,05-12-2016 11:50,12150384,Make Memories,0,53.127677819384274,78.2569627054225339175479819983856077464,69.4300950189531010837144204441965175614,190,55,900,26,196.34,3248.52,409.12
128628053,GB / Ling 5th Dec,5f Mdn Stks,05-12-2016 12:50,10987237,Heavenly Cry,0,41.07285993734433,31.9373103072708192838481185864831159283,20.815403847731426022005685126925483321,42,19.5,1000,12,169.88,8696.74,1368.92
