time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-12-25T00:50:10.803Z,-19.743,-177.6812,417.47,4.9,mb,,115,4.504,0.89,us,us6000gf4u,2021-12-25T01:08:12.040Z,"Fiji region",earthquake,11.9,7.1,0.042,177,reviewed,us,us
2021-12-24T15:28:37.877Z,-18.7353,-177.627,445.27,4.5,mb,,123,4.222,1.09,us,us6000gf2a,2021-12-24T17:19:54.040Z,"Fiji region",earthquake,13.6,7.6,0.076,51,reviewed,us,us
2021-12-24T14:21:20.109Z,-17.8017,-178.514,580.78,4.5,mb,,117,3.271,0.63,us,us6000gf24,2021-12-24T14:38:51.040Z,"231 km E of Levuka, Fiji",earthquake,14.3,9.4,0.079,47,reviewed,us,us
2021-12-23T00:00:14.216Z,-29.7629,-176.9347,9.26,4.2,mb,,191,0.993,0.73,us,us7000g999,2022-01-15T04:19:11.040Z,"Kermadec Islands region",earthquake,12.4,7.7,0.167,10,reviewed,us,us
2021-12-22T21:22:38.906Z,-23.5854,-175.6946,35,4.6,mb,,187,5.995,0.44,us,us7000g98v,2022-01-15T01:32:07.040Z,"260 km SSW of ‘Ohonua, Tonga",earthquake,6.8,2,0.158,12,reviewed,us,us
2021-12-22T17:41:18.432Z,-23.2229,-177.0031,169.06,4.4,mb,,75,7.153,0.92,us,us6000gemf,2022-01-07T18:28:29.040Z,"293 km SW of Vaini, Tonga",earthquake,4.1,6.1,0.072,56,reviewed,us,us
2021-12-22T12:08:43.856Z,-29.3948,-176.6166,35,4.4,mb,,170,1.146,0.9,us,us7000g98f,2022-01-06T07:32:11.040Z,"Kermadec Islands region",earthquake,12.6,1.9,0.19,9,reviewed,us,us
2021-12-22T11:43:31.251Z,-18.1249,-174.0282,10,4.5,mb,,71,4.715,0.33,us,us7000g98l,2022-01-06T07:06:28.040Z,"58 km N of Neiafu, Tonga",earthquake,11.3,1.9,0.191,8,reviewed,us,us
2021-12-21T14:01:49.825Z,-15.1405,-174.2227,10,4.5,mb,,92,2.661,0.37,us,us7000g8zb,2022-01-04T20:44:42.040Z,"101 km NNW of Hihifo, Tonga",earthquake,14.1,1.9,0.27,5,reviewed,us,us
2021-12-20T11:11:05.830Z,-16.3094,-175.4432,299.25,4.5,mb,,42,4.265,0.48,us,us6000gdt2,2022-01-07T09:54:15.040Z,"180 km WSW of Hihifo, Tonga",earthquake,10.6,7.8,0.048,130,reviewed,us,us
2021-12-20T03:16:08.790Z,-30.9541,-178.3235,76.68,4.6,mb,,168,1.722,0.99,us,us7000g8wl,2022-01-05T00:43:46.040Z,"Kermadec Islands, New Zealand",earthquake,10.2,10.2,0.193,8,reviewed,us,us
2021-12-19T16:28:22.712Z,-16.2662,178.5788,10,6.2,mww,,45,1.554,0.65,us,us6000gdma,2022-01-03T20:30:52.645Z,"85 km WNW of Labasa, Fiji",earthquake,7.3,1.5,0.041,57,reviewed,us,us
2021-12-19T12:40:03.204Z,-19.1859,169.6958,33.77,4.9,mb,,57,4.006,0.81,us,us6000gdle,2022-01-07T10:04:26.065Z,"58 km NE of Isangel, Vanuatu",earthquake,7.8,5.4,0.082,47,reviewed,us,us
2021-12-19T04:09:24.478Z,-16.5899,-173.187,10,4.6,mb,,70,2.99,1.17,us,us6000gel6,2021-12-23T03:02:47.040Z,"95 km SE of Hihifo, Tonga",earthquake,8.1,1.8,0.141,17,reviewed,us,us
2021-12-18T20:14:16.091Z,-21.4339,170.1388,10,5.1,mww,,97,2.759,0.65,us,us6000gdgp,2022-01-14T00:45:43.225Z,"227 km SSE of Isangel, Vanuatu",earthquake,4,1.8,0.069,20,reviewed,us,us
2021-12-18T20:10:54.766Z,-21.2891,-173.5019,10,4.8,mb,,111,7.52,0.39,us,us6000gekh,2022-01-14T00:34:24.040Z,"150 km E of ‘Ohonua, Tonga",earthquake,7.2,1.9,0.211,7,reviewed,us,us
2021-12-18T18:36:07.970Z,-21.1329,-176.0336,181.91,4.9,mb,,161,6.518,1.26,us,us6000gek8,2022-01-15T22:15:29.040Z,"85 km W of Haveluloto, Tonga",earthquake,11.6,7.7,0.099,34,reviewed,us,us
