Pgroup;Lp;PKod;Pname;p_sale_in_time;Psale;Pavarage_stock;Rotation_in_days;Rotation_in_times
ART._HYGIENIC;;;;;;;;
 ;1;7373;HELP PLYN DO P?UKANIA KWIATOWY 1 L;0,010695187;4,00;0,00;0;
 ;1;8334;HELP PLYN DO WC 750 ML;0,010695187;4,00;0,00;0;
 ;1;9948;KAPSULKI DO ZMYWARKI FAIRY LEMON 10SZT;0,005347594;2,00;0,00;0;
 ;1;1611;KLEJ KROPELKA;0,082887701;31,00;0,00;0;
 ;1;1620;KLEJ SUPER GLUE;0,037433155;14,00;0,00;0;
 ;1;4957;KLEJ W SZTYFCIE;0,010695187;4,00;0,00;0;
 ;1;6005;KOMFORT PLYN DO PRANIA 500 ML;0,002673797;1,00;0,00;0;
 ;1;16430;KONTOMIERZ 180;0,002673797;1,00;0,00;0;
 ;1;7568;KOSTKA DO WC FORCE;0,002673797;1,00;0,00;0;
 ;1;3524;KRAZKI KUKURYDZIANE 60 G;0,026737968;10,00;0,00;0;
 ;1;4949;KREDKI OLOWKOWE 12 SZT;0,002673797;1,00;0,00;0;
 ;1;18923;KREDKI O?OWKOWE 12 SZT;0,010695187;4,00;0,00;0;
 ;1;9811;KREDKI SWIECACE 12 SZT;0,010695187;4,00;0,00;0;
 ;1;18924;KREDKI SWIECOWE WKRECANE  12 SZT;0,002673797;1,00;0,00;0;
 ;1;1657;KREM BAMBINO 75ML;0,032085561;12,00;0,00;0;
 ;1;13860;KREM DO RAK ZIOLA POLSKIE;0,005347594;2,00;0,00;0;
 ;1;8019;KREM DO STOP 100 ML;0,005347594;2,00;0,00;0;
 ;1;3502;KRET GRANULKI 500G;0,005347594;2,00;0,00;0;
 ;1;5410;KRET W TABLATKACH 3W1;0,010695187;4,00;0,00;0;
 ;1;8555;KUBEK 180 ML;0,227272727;85,00;0,00;0;
 ;1;10075;KUSCHELWEICH 990 ML NIEBIESKI DO PLUKANI;0,013368984;5,00;0,00;0;
 ;1;19122;LAKIER DO WLOS.SYNTEZA 120ML ZAPAS;0,013368984;5,00;0,00;0;
 ;1;5061;LAKIER DO WLOSOW 200 ML EVA;0,005347594;2,00;0,00;0;
 ;1;5060;LAKIER DO WLOSOW EVA 200 ML;0,010695187;4,00;0,00;0;
 ;1;2876;LAKIER PROFESSIONAL 265ML;0,010695187;4,00;0,00;0;
 ;1;6447;LENOR PLYN SUMMER 1 L;0,002673797;1,00;0,00;0;
 ;1;18926;LINIJKA 20 CM;0,002673797;1,00;0,00;0;
 ;1;27;LUDWIK D/NACZYN 0,5 L MIETA;0,026737968;10,00;0,00;0;
 ;1;1999;LUDWIK D/NACZYN 1L MIETOW;0,082887701;31,00;0,00;0;
 ;1;26;LUDWIK D/NACZYN 500 ML CYTRYNA;0,07486631;28,00;0,00;0;
 ;1;14686;LUDWIK D/NACZYN BALSAM 1L;0,016042781;6,00;0,00;0;
 ;1;14685;LUDWIK D/NACZYN BALSAM 500ML;0,050802139;19,00;0,00;0;
 ;1;16079;LUDWIK DO ZATLUSZCZONYCH POWIERZ.0,75;0,005347594;2,00;0,00;0;
 ;1;9634;LUDWIK MLECZKO DO CZYSZCZENIA 300 ML;0,005347594;2,00;0,00;0;
 ;1;9633;LUDWIK MLECZKO DO CZYSZCZENIA 300 ML;0,005347594;2,00;0,00;0;
 ;1;9635;LUDWIK MLECZKO DO CZYSZCZENIA 300 ML;0,005347594;2,00;0,00;0;
 ;1;11150;LUDWIK PLYN UNIWERSALNY 1 L;0,002673797;1,00;0,00;0;
 ;1;11152;LUDWIK PLYN UNIWERSALNY 1 L;0,005347594;2,00;0,00;0;
 ;1;10213;LUDWIK P?YN DO MYCIA SZYB/GLAZUR CYTRYNA;0,005347594;2,00;0,00;0;
 ;1;10209;LUDWIK P?YN DO SZYB I GLAZUR 750ML;0,005347594;2,00;0,00;0;
