SAPOBJECTID;CLASS;WASTE_COL_TYPE;WASTE_COL_MATERIAL;NUMBER_OF_WASTE_BINS;SLAB;FINISH;PHOTO_LEGACY;GIS_STARTUP_DATE;CUSTODIAN;GIS_DESCRIPTION;SORT_FIELD;CREATED_DATE;LAST_EDITED_DATE;POINT_X;POINT_Y
6000120750;WASTE_COL_POINT;STANDARD LITTER BIN;TIMBER AND STEEL;100.000.000.000;;;;19/07/2014;51002358;Waste Collection Poi;;26/10/2015;26/10/2015;54.214.955.230.000.000;690.289.809.250.000.000
6000120751;WASTE_COL_POINT;STANDARD LITTER BIN;TIMBER AND STEEL;100.000.000.000;;;;19/07/2014;51002358;Waste Collection Poi;;26/10/2015;26/10/2015;54.212.875.600.000.000;690.289.909.790.000.000
6000120784;WASTE_COL_POINT;STANDARD LITTER BIN;TIMBER AND STEEL;100.000.000.000;;;;19/07/2014;51002358;Waste Collection Poi;;26/10/2015;26/10/2015;54.214.452.520.000.000;690.279.993.190.000.000
6000120775;WASTE_COL_POINT;STANDARD LITTER BIN;TIMBER AND STEEL;100.000.000.000;;;;19/07/2014;51002358;Waste Collection Poi;;26/10/2015;26/10/2015;54.215.696.060.000.000;690.284.967.370.000.000
6000120776;WASTE_COL_POINT;STANDARD LITTER BIN;TIMBER AND STEEL;100.000.000.000;;;;19/07/2014;51002358;Waste Collection Poi;;26/10/2015;26/10/2015;54.212.277.640.000.000;690.284.067.780.000.000
6000120799;WASTE_COL_POINT;STANDARD LITTER BIN;TIMBER AND STEEL;100.000.000.000;;;;19/07/2014;51002358;Waste Collection Poi;;27/10/2015;27/10/2015;54.212.919.250.000.000;690.275.003.140.000.000
6000120802;WASTE_COL_POINT;STANDARD LITTER BIN;TIMBER AND STEEL;100.000.000.000;;;;19/07/2014;51002358;Waste Collection Poi;;27/10/2015;27/10/2015;54.214.088.710.000.000;690.271.849.300.000.000
6000121174;WASTE_COL_POINT;STANDARD LITTER BIN;TIMBER AND STEEL;100.000.000.000;;;;19/07/2014;51002358;Waste Collection Poi;;02/11/2015;02/11/2015;54.236.792.160.000.000;689.884.695.380.000.000
6000121217;WASTE_COL_POINT;WHEELIE BIN STAND;STEEL;100.000.000.000;N;;;01/09/2015;51002358;Waste Collection Poi;;04/11/2015;04/11/2015;54.803.605.040.000.000;688.770.654.340.000.000
6000117372;WASTE_COL_POINT;STANDARD LITTER BIN;TIMBER AND STEEL;100.000.000.000;;;;01/07/2014;51002358;Waste Collection Poi;;10/06/2015;04/11/2015;53.744.228.070.000.000;690.708.511.650.000.000
6000121048;WASTE_COL_POINT;STANDARD LITTER BIN;TIMBER AND STEEL;100.000.000.000;;;;19/07/2014;51002358;Waste Collection Poi;;29/10/2015;04/11/2015;54.225.333.580.000.000;689.964.445.510.000.000
6000120385;WASTE_COL_POINT;STANDARD LITTER BIN;TIMBER AND STEEL;100.000.000.000;;;;19/07/2014;51001206;Waste Collection Poi;;14/10/2015;04/11/2015;54.118.696.950.000.000;690.565.001.150.000.000
6000121220;WASTE_COL_POINT;STANDARD LITTER BIN;STAINLESS STEEL;100.000.000.000;;;;01/09/2015;51002358;Waste Collection Poi;;04/11/2015;04/11/2015;53.744.757.000.000.000;690.708.040.470.000.000
6000121221;WASTE_COL_POINT;STANDARD LITTER BIN;STAINLESS STEEL;100.000.000.000;;;;01/09/2015;51002358;Waste Collection Poi;;04/11/2015;04/11/2015;53.748.408.260.000.000;690.706.175.150.000.000
6000121222;WASTE_COL_POINT;STANDARD LITTER BIN;STAINLESS STEEL;100.000.000.000;;;;01/09/2015;51002358;Waste Collection Poi;;04/11/2015;04/11/2015;53.746.847.210.000.000;690.706.915.990.000.000
6000121218;WASTE_COL_POINT;WHEELIE BIN ENCLOSURE;STEEL;100.000.000.000;Y;Powdercoated;;01/09/2015;51002358;Waste Collection Poi;;04/11/2015;04/11/2015;53.751.407.320.000.000;690.736.954.190.000.000
6000109450;WASTE_COL_POINT;STANDARD LITTER BIN;STAINLESS STEEL;100.000.000.000;N;;;18000101;51002358;WASTE COLLECTION POINT;69791;23/05/2014;03/11/2015;54.227.866.900.000.000;689.965.869.510.000.000
6000121238;WASTE_COL_POINT;STANDARD LITTER BIN;TIMBER AND STEEL;100.000.000.000;;;;01/09/2015;51002358;Waste Collection Poi;;04/11/2015;04/11/2015;53.879.174.520.000.000;691.529.486.990.000.000
6000121237;WASTE_COL_POINT;STANDARD LITTER BIN;TIMBER AND STEEL;100.000.000.000;;;;01/09/2015;51002358;Waste Collection Poi;;04/11/2015;04/11/2015;53.880.272.540.000.000;691.532.476.790.000.000
6000121239;WASTE_COL_POINT;STANDARD LITTER BIN;TIMBER AND STEEL;100.000.000.000;;;;01/09/2015;51002358;Waste Collection Poi;;04/11/2015;04/11/2015;53.880.788.480.000.000;691.535.188.780.000.000
6000121240;WASTE_COL_POINT;WHEELIE BIN ENCLOSURE;TIMBER AND STEEL;100.000.000.000;;;;01/09/2015;51002358;Waste Collection Poi;;04/11/2015;04/11/2015;53.874.127.580.000.000;691.530.684.240.000.000
6000121232;WASTE_COL_POINT;STANDARD LITTER BIN;TIMBER AND STEEL;100.000.000.000;;;;01/09/2015;51002358;Waste Collection Poi;;04/11/2015;04/11/2015;53.882.229.490.000.000;691.528.540.840.000.000
6000121231;WASTE_COL_POINT;STANDARD LITTER BIN;TIMBER AND STEEL;100.000.000.000;;;;01/09/2015;51002358;Waste Collection Poi;;04/11/2015;04/11/2015;53.882.060.150.000.000;691.530.287.100.000.000
6000121233;WASTE_COL_POINT;STANDARD LITTER BIN;TIMBER AND STEEL;100.000.000.000;;;;01/09/2015;51002358;Waste Collection Poi;;04/11/2015;04/11/2015;53.883.065.570.000.000;691.535.451.770.000.000
6000121234;WASTE_COL_POINT;STANDARD LITTER BIN;TIMBER AND STEEL;100.000.000.000;;;;01/09/2015;51002358;Waste Collection Poi;;04/11/2015;04/11/2015;53.883.700.570.000.000;691.539.124.200.000.000
6000121235;WASTE_COL_POINT;STANDARD LITTER BIN;TIMBER AND STEEL;100.000.000.000;;;;01/09/2015;51002358;Waste Collection Poi;;04/11/2015;04/11/2015;53.884.949.410.000.000;691.545.675.290.000.000
6000121236;WASTE_COL_POINT;STANDARD LITTER BIN;TIMBER AND STEEL;100.000.000.000;;;;01/09/2015;51002358;Waste Collection Poi;;04/11/2015;04/11/2015;53.887.341.250.000.000;691.545.876.380.000.000
6000121241;WASTE_COL_POINT;STANDARD LITTER BIN;STAINLESS STEEL;100.000.000.000;;;;01/09/2015;51002358;Waste Collection Poi;;04/11/2015;04/11/2015;54.119.829.420.000.000;690.562.742.800.000.000
6000121248;WASTE_COL_POINT;WHEELIE BIN ENCLOSURE;STEEL;100.000.000.000;;;;01/09/2015;51002358;Waste Collection Poi;;04/11/2015;04/11/2015;54.119.881.250.000.000;690.553.408.040.000.000
6000121242;WASTE_COL_POINT;WHEELIE BIN ENCLOSURE;TIMBER AND STEEL;100.000.000.000;;;;27/10/2015;51002358;Waste Collection Poi;;04/11/2015;04/11/2015;55.185.646.340.000.000;688.410.760.040.000.000
