floorUSD,totalVolumeUSD,address,logo,marketplaces,name,chains,floor,owners,totalVolume,category,SK,PK,dailyVolumeUSD,dailyVolume,slug
22837,61597826,0xedb61f74b0d09b2558f1eeb79b247c1f363ae452,https://lh3.googleusercontent.com/gjOExI2qNNJuv6fo4hmHamRzDMRLkYPFQtK4d67GE3bgdVJCyZngUwY_h6qp9244pp7l_pF2JBHtOJ8cLgzFbulxMK-KqlZnu9E1sg=s120,['opensea'],Gutter Cat Gang,['ethereum'],6.475,1758,17464.948638913953,collections,overview,collection#guttercatgang,219305,62.18,guttercatgang
1693,60724444,0x12d2d1bed91c24f878f37e66bd829ce7197e4d14,https://lh3.googleusercontent.com/fy46-MlNjZMR1NCTNAgmh9e97SNffpSBkwd0HpL9XTBfRt6-GvjTytWHoN9Pzmbw83TbRzo8nGgZ32QbVVMYnrmBb2vM6_6_3yXv=s120,['opensea'],GalacticApes,['ethereum'],0.48,3437,17217.316866883237,collections,overview,collection#galacticapes,54309,15.398200000000001,galacticapes
27661,59162116,0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270,https://lh3.googleusercontent.com/o5Tt1FbaINxqvS47-r3weuCEaTKGbc5yZJS0yXtDyBDwVeyYVWr7angBivb3iGXKc_1Q-a-DBwxu_VMynRnPbJHVnkt4u1pbBTDz,['opensea'],Meridian by Matt DesLauriers,['ethereum'],7.47,619,15977.065828319244,collections,overview,collection#meridian-by-matt-deslauriers,185765,50.167,meridian-by-matt-deslauriers
3844,58702697,0x0c2e57efddba8c768147d1fdf9176a0a6ebd5d83,https://lh3.googleusercontent.com/80yXYN287mZWxZhcBImQes5pVi19Tm5X9q2xj6DU2o_WUJKB1AybLpiFv2nL2WL00c3idD_XAL12wZLKsV1jzL8x2fTYlakHZg3JxA=s120,['opensea'],Kaiju Kingz,['ethereum'],1.09,2302,16644.08721204034,collections,overview,collection#kaiju-kingz,272300,77.2058,kaiju-kingz
4536,58092518,0x36d30b3b85255473d27dd0f7fd8f35e36a9d6f06,https://lh3.googleusercontent.com/pnJeSudJAfhAinecDqcM4-VJ-u4LbdIXeoJdZ-y0PqtDzvNF7qDK8aUXn9duCUyMGLtgS_J04D9-wLlqgZKei931ZdQ59bbJMPZpcg=s120,['opensea'],888 inner circle,['ethereum'],1.286,3609,16471.082111941287,collections,overview,collection#888innercircle,194724,55.210499999999996,888innercircle
328,56834133,0xc36cf0cfcb5d905b8b513860db0cfe63f6cf9f5c,https://lh3.googleusercontent.com/zH2rP3EBA9cpYdlxCkQhLAiJzqyoIIkQ6ex5YkbRczElE6H4-suVezS7gOkM143PFcns_WYvN0qwWKF2eJAL57t_0COOK5VGP5Y5Bw=s120,['opensea'],Mirandus,['ethereum'],0.088,14628,15242.140993555986,collections,overview,collection#mirandus,198618,53.26667279999998,mirandus
15871,56762500,0xaadc2d4261199ce24a4b0a57370c4fcf43bb60aa,https://lh3.googleusercontent.com/Q3G1qQKz97idjTwIJB9Enz3D4LDvL_DbwnHCP9YgVjTL4TLh7tAWUwGLPExniqGlfgLXRX-bOHRgGOb7oNOAHoeQWz2-CPLwDuaHRw=s120,['opensea'],Damien Hirst - The Currency,['ethereum'],4.5,1674,16093.979613507045,collections,overview,collection#thecurrency,114089,32.348,thecurrency
102,56134822,0x2d9e5de7d36f3830c010a28b29b3bdf5ca73198e,https://lh3.googleusercontent.com/KgKgvjxO8YUDbr747VRfmAEqhvjP8GzNIC23UMheTkzUQ1JmOK07FQ6BhlfBOtrKG_Jm7NoasA6PVch_0Ujf55mp=s60,['opensea'],MakersPlace,['ethereum'],0.029,14704,15916.012704473444,collections,overview,collection#makersplace,2504,0.71,makersplace
1795,55173583,0xaadba140ae5e4c8a9ef0cc86ea3124b446e3e46a,https://lh3.googleusercontent.com/Cg3lUE2P3X7MhSKMROVOjvHkeNw_IWvH8aEyyK3hi9Rxh9d4eyxR6u7KEwRcpBKYq00WPjyYRdyyIdal8TOvsAZfYbeH8IfoZRUw=s120,['opensea'],MutantCats,['ethereum'],0.509,886,15643.470713334353,collections,overview,collection#mutantcats,409737,116.17359089999987,mutantcats
3044,54044589,0x28472a58a490c5e09a238847f66a68a47cc76f0f,https://lh3.googleusercontent.com/_wXtGDZ07ZelRfyfqDQkhoTX_feD_w3wdFuJ25z2ZLA1R6GFzuQ2jOGURRS8d7UEJGJd1svd61tZnGRS4zN-VXTUUVmg8Wymt-Uk=s120,['opensea'],adidas Originals Into the Metaverse,['ethereum'],0.863,21137,15323.36497304344,collections,overview,collection#adidasoriginals,713036,202.16844589,adidasoriginals
