Share,Category,Sector,RM,Up,Last Traded Price,Percentage Change,High Price,Low Price,% High Movt,% Low movt,Yearly Gainner,27th Dec,1st Feb,1st March,1st April,TB,RH,Corr,PeRatio,New Pe,W52_High,Corre,latest,Annual_Pat,Cum PAT 3 Quarter,Pat Jump,Annual Growth,Year End,Mar_17_ReportedPAT,Dec_16_ReportedPAT,Sep_16_ReportedPAT,Jun_16_ReportedPAT,Mar_16_ReportedPAT,Dec_15_ReportedPAT,Y oY PAT,LQ>0.5(4q's),PAT Growth,PeRatio,ResultDate,Mar_17_Inst_no_of_shares,Dec_16_Inst_no_of_shares,Int/ Incr/ Decr,Pledge,DividendYield,DERatio,FB,Mar_17_Eps_Before,Dec_16_Eps_Before,Sep_16_Eps_Before,Jun_16_Eps_Before,Mar_16_Eps_Before,Dec_15_Eps_Before,Annual_Eps,Volume,MarketCap,Annual_Pat,EquityCapital,FaceValue,New Listing,PE High Price High,Future,Cap Category
ALBERTDAVD,NL,PHARMA,#N/A,#N/A,321.9,#N/A,#N/A,#N/A,#N/A,#N/A,,5%,-12%,-5%,1%,,382.85,16%,3.59,-27.94270833,425,24%,42779,47.9959,7.1578,-40.8381,,,0,-1.642,6.1637,2.6361,43.9636,-5.1544,,,,3.59,42779,7,7,0,0,1.7,0.15,FB,0,-2.88,10.8,4.62,77.03,-9.03,84.1,0.110354332,184,47.9959,5.7072,10,ALBERTDAVD,,,MiniCap
ALBK,TA,BANKS-PSU,#N/A,#N/A,87.2,2.29,90.8,86.55,0.039647577,0.00751011,38%,53%,32%,19%,19%,,88.5,1%,0,21,90.4,4%,42872,-719.84,-424.67,295.17,G,,0,75.26,65.03,-564.96,-581.13,-486.14,Y,,Y,0,42872,127,131,-4,0,0,1.03,,0,1.02,0.9,-8.44,-9.67,-8.09,-12.28,22.63358324,6485,-719.84,743.69,10,,,,MidCap
ALCHEM,TA,PHARMA,#N/A,#N/A,18.35,-0.54,18.75,18.2,0.021333333,0.008241758,21%,-15%,-17%,-16%,-21%,TB,30.5,40%,0,24,31.5,42%,42776,-53.2235,-77.794,-24.5705,,,0,0.2629,-76.7412,-1.3157,-11.9857,-7.0331,Y,,Y,0,42776,8,8,0,0,0,21.21,FB,0,0.19,-56.59,-0.97,-8.84,-5.19,-35.67,0.073786764,25,-53.2235,13.5598,10,,,,MiniCap
ALEMBICLTD,HWV,PHARMA,#N/A,#N/A,48.3,-3.11,48.6,46.55,0.00617284,0.037593985,5%,37%,36%,22%,32%,,51.7,7%,46.85,403,51.7,7%,,24.6676,24.68,0.0124,,,2.82,0.69,22.61,1.38,-1.43,-3.93,Y,,Y,46.85,42864,28,27,1,0,0,0,,0.11,0.03,0.85,0.05,-0.05,-0.15,8.77,1.646903775,1290,24.6676,53.41,2,,,,SmallCap
ALICON,HWLV,METALS AND MINING,#N/A,#N/A,516.4,-3.27,524.5,498,0.015443279,0.036947791,66%,50%,38%,34%,14%,,527,2%,24.01,32,530,3%,,22.2769,17.2622,-5.0147,G,,8.9108,5.01,6.9966,5.2556,8.0673,4.8572,Y,,Y,24.01,42854,2,1,1,0,0.82,1.2,,7.27,4.09,5.71,4.29,6.58,4.35,18.18,0.123783858,633,22.2769,6.1281,5,,,,MiniCap
ALKALI,Exit,CHEMICALS,#N/A,#N/A,81.4,#N/A,#N/A,#N/A,#N/A,#N/A,90%,23%,8%,1%,7%,,88.4,8%,86.09,23,108,25%,42870,2.2552,1.1782,-1.077,,,0,0.8912,0.0609,0.2261,-0.2226,0.8358,Y,,Y,86.09,42870,0,0,,30,1.47,0.41,FB,0,0.88,0.06,0.22,-0.22,0.82,2.21,0.292363349,83,2.2552,10.1825,10,,,,MiniCap
ALKEM,Buy,PHARMA,0,0,1906.35,-0.6,1914.8,1894.05,0.004412994,0.006494021,75%,26%,16%,-11%,-14%,,2240.75,15%,28.1,24,2400,21%,42776,684.5,767.71,83.21,G,,0,236.26,288.15,243.3,57.32,192.45,Y,,Y,28.1,42776,88,85,3,0,0.66,0.17,,0,19.52,23.65,19.97,4.74,15.8,56.3,9.916387708,22793,684.5,23.91,2,,,,LargeCap
ALKYLAMINE,HWLV,CHEMICALS,#N/A,#N/A,456.5,2.52,478.45,451.6,0.045877312,0.01085031,50%,56%,44%,24%,1%,,538.65,15%,17.32,14,538.65,15%,42873,49.9621,38.3202,-11.6419,G,,0,16.8923,10.465,10.9629,15.3781,11.8313,Y,,Y,17.32,42873,9,8,1,0,2.19,0.47,,0,8.28,5.13,5.37,7.54,5.8,24.53,0.432258902,931,49.9621,10.206,5,,,,MiniCap
ALLCARGO,Buy,TRANSPORTATION LOGISTICS,0,0,183.75,1.06,188.5,184.05,0.025198939,-0.001629992,13%,6%,6%,8%,9%,TB,200.95,9%,18.5,23,221.5,17%,42779,282.99,174.75,-108.24,,,0,47.98,64.33,62.44,70.9,60.63,Y,,Y,18.5,42779,67,63,4,0,1.08,0.16,,0,1.96,2.56,2.42,2.74,2.44,11.04,1.5935453,4515,282.99,50.42,2,,,,SmallCap
ALLSEC,HWLV,IT,0,0,375.7,0.61,383.85,370.6,0.021232252,0.013761468,235%,16%,-6%,-9%,1%,,461,19%,10.04,9,463.9,19%,42870,30.94,46.03,15.09,G,,0,16.79,16.12,13.12,10.97,6.98,Y,,Y,10.04,42870,5,6,-1,0,0,0.03,,0,11.02,10.58,8.61,7.2,4.58,20.3,1.355589075,573,30.94,15.24,10,,,,MiniCap
ALMONDZ,Exit,FINANCIAL SERVICES,#N/A,#N/A,18.4,#N/A,#N/A,#N/A,#N/A,#N/A,88%,35%,25%,20%,4%,,22.4,18%,10.05,-92,22.4,18%,42776,-0.39,-0.26,0.13,,,0,-0.55,0.42,-0.13,3.71,0.47,,,,10.05,42776,2,2,0,0,0,0.25,FB,0,-0.05,0.32,0.11,1.47,0.18,-0.12,0.008486775,48,-0.39,15.53,6,,,,MiniCap
ALOKTEXT,Exit,TEXTILES AND APPAREL,#N/A,#N/A,3.75,-2.67,3.75,3.65,0,0.02739726,-33%,15%,17%,12%,27%,,3.9,4%,0,-0.148573693,4.9,23%,42779,-3779.14,-2596.51,1182.63,,,0,-856.76,-527.71,-1212.04,-1852.03,-1638.29,,,,0,42779,35,39,-4,97.64,0,-68.63,FB,0,-6.31,-3.88,-8.93,-13.45,-11.89,-27.41,1.588277747,516,-3779.14,1357.87,10,,,,MiniCap
ALPA,Exit,PHARMA,#N/A,#N/A,40.6,#N/A,#N/A,#N/A,#N/A,#N/A,14%,39%,18%,-2%,-1%,,49.4,18%,17.29,6.766666667,49.4,18%,42772,6.3466,5.8725,-0.4741,,,0,3.153,0.2434,2.4761,-0.9058,-0.4267,Y,,Y,17.29,42772,0,0,,0,0,0.26,FB,0,1.5,0.12,1.18,-0.43,-0.2,3.16,0.058080558,85,6.3466,21.0406,10,,,,MiniCap
ALPHAGEO,Buy,ENERGY-OIL & GAS,0,0,1010,-0.5,1022.95,1003.65,0.012659465,0.006326907,81%,7%,15%,6%,13%,,1090,7%,17.58,13,1147,12%,42776,11.6338,16.0223,4.3885,G,,0,11.7385,-3.5867,7.8705,19.2182,-0.1382,Y,,Y,17.58,42776,17,17,0,10.59,0.19,0.02,,0,19.68,-6.13,13.73,34.06,-0.25,20.6,2.381680981,618,11.6338,5.9098,10,,,RISKY,MiniCap
ALPSINDUS,Exit,TEXTILES AND APPAREL,#N/A,#N/A,7.2,#N/A,#N/A,#N/A,#N/A,#N/A,52%,-5%,-15%,-2%,9%,,9.4,23%,2.48,#DIV/0!,10.2,29%,42779,20.2354,-44.6108,-64.8462,,,0,-17.529,-15.3344,-11.7474,55.836,-15.6146,,,,2.48,42779,4,4,0,71.66,0,-1.63,FB,0,0,0,0,0,0,0,0.087365914,28,20.2354,39.1141,10,,,,MiniCap
AMARAJABAT,HWV,AUTO-AUTO ANCL AND COMPONENTS,#N/A,#N/A,899.95,1.33,918.4,905,0.020089286,-0.00558011,2%,5%,2%,5%,1%,TB,925,3%,31.43,34,1079.7,17%,42879,489.44,379.3,-110.14,G,,0,112.32,136.32,130.66,108.6,136.82,Y,,Y,31.43,42879,255,255,0,0.42,0.47,0.03,,0,6.58,7.98,7.65,6.36,8.01,28.65,29.55133572,15372,489.44,17.08,1,,,,LargeCap
AMBIKCO,HWLV,TEXTILES AND APPAREL,#N/A,#N/A,1295.6,0.91,1320,1291.4,0.018484848,0.003252284,66%,30%,21%,5%,-1%,,1420,9%,14.19,13,1420,9%,42767,44.46,41.71,-2.75,G,,0,14.41,14.78,12.52,10.53,11.31,Y,,Y,14.19,42767,6,7,-1,0,1.15,0.06,,0,24.53,25.16,21.31,17.92,19.25,75.68,0.672547843,742,44.46,5.875,10,,,,MiniCap
AMBUJACEM,HWV,CEMENTS,#N/A,#N/A,259.7,0.87,264.2,257.3,0.017032551,0.009327633,4%,31%,13%,13%,10%,TB,252.75,-3%,38.45,62,281.7,8%,,0,1130.53,1130.53,G,,394.31,230.7,259.23,640.6,288.48,111.04,Y,,Y,38.45,42853,669,679,-10,0,1.07,0,,1.47,1.04,1.09,2.63,0,0.72,0,36.30202782,51567,0,397.13,2,,,,LargeCap
AMDIND,Exit,FMCG-PACKAGING,#N/A,#N/A,31.1,#N/A,#N/A,#N/A,#N/A,#N/A,0%,14%,5%,10%,6%,TB,35,11%,0,-2.718531469,40.4,23%,42776,2.6893,-3.1999,-5.8892,,,0,-5.4892,-2.7084,4.9977,-0.4202,-2.4107,,,,0,42776,0,0,,0,1.6,0.6,FB,0,-2.86,-1.41,2.61,-0.22,-1.26,1.4,0.050695698,60,2.6893,19.1667,10,,,,MiniCap
AMRUTANJAN,HWLV,PHARMA,#N/A,#N/A,738.95,#N/A,#N/A,#N/A,#N/A,#N/A,44%,45%,25%,29%,25%,,733,-1%,44.06,28,765,3%,42871,20.5754,19.7007,-0.8747,G,,0,9.6492,7.9458,2.1057,4.7055,8.6835,Y,,Y,44.06,42871,12,8,4,0,0.52,0.02,,0,6.6,5.44,1.44,3.22,5.94,14.08,1.280927713,1080,20.5754,2.9231,2,,,,SmallCap
AMTEKAUTO,Exit,AUTO-AUTO ANCL AND COMPONENTS,0,0,39.15,-1.15,39.85,38.25,0.017565872,0.023529412,12%,26%,18%,3%,18%,,44,11%,0,-0.910465116,56.25,30%,42780,-745.29,-1316.42,-571.13,,,0,-241.56,-755.18,-319.68,-528.69,-132.15,,,,0,42780,61,73,-12,0,0,2.64,FB,0,-10.75,-33.6,-14.22,-23.52,-5.88,-50.42,6.442277021,972,-745.29,44.95,2,,,,MiniCap
ANANTRAJ,Buy,REALTY,0,0,67.65,-3.25,68.4,65.15,0.010964912,0.038372985,49%,85%,57%,48%,42%,,65,-4%,28.34,25,70.65,4%,42776,58.38,51.78,-6.6,G,,0,20.5,15.76,15.52,8.79,15.54,Y,,Y,28.34,42776,46,50,-4,0,0.35,0.26,,0,0.69,0.53,0.53,0.3,0.53,1.98,3.061362029,1996,58.38,59.02,2,,,,SmallCap
ANDHRABANK,Buy,BANKS-PSU,#N/A,#N/A,70.85,0.42,72.1,70.55,0.017337032,0.004252303,12%,55%,42%,26%,22%,,74.7,5%,25.31,21,76.1,7%,42871,542.0959,139.21,-402.8859,,,0,56.7,51.42,31.09,51.6,34.46,Y,,Y,25.31,42871,143,161,-18,0,0.7,0.88,,0,0.83,0.75,0.46,0.79,0.53,8.89,14.1000854,4826,542.0959,681.16,10,,,,SmallCap
ANDHRACEMT,Exit,CEMENTS,#N/A,#N/A,9.95,#N/A,#N/A,#N/A,#N/A,#N/A,17%,45%,16%,-7%,11%,,14.1,29%,0,-2.961309524,14.1,29%,42776,-65.1,-65.66,-0.56,,,0,-24.55,-20.26,-20.85,-22.35,-22.93,,,,0,42776,58,669,-611,75,0,19.33,FB,0,-0.84,-0.69,-0.71,-0.76,-0.78,-2.22,0.571682849,292,-65.1,293.52,10,,,,MiniCap
ANDHRSUGAR,Exit,FMCG-SUGAR,0,0,325.8,-1.43,331.5,318.7,0.01719457,0.022278004,129%,63%,44%,22%,5%,,339.8,4%,8.52,6,339.8,4%,42770,42.3256,86.0338,43.7082,G,,0,38.6706,27.6831,19.6801,17.2518,5.8605,Y,,Y,8.52,42770,0,0,,0,1.53,0.46,FB,0,14.26,10.21,7.32,0,2.16,15.61,2.310186002,883,42.3256,27.1101,10,,,,MiniCap
ANGIND,Exit,AUTO-AUTOMOBILES AND AUTO PARTS,#N/A,#N/A,10.2,#N/A,#N/A,#N/A,#N/A,#N/A,-74%,-2%,-2%,-2%,15%,,13.4,24%,0,#DIV/0!,22.5,55%,42780,-10.4003,-79.4431,-69.0428,,,0,-6.9561,-28.2886,-44.1984,-15.3348,2.0449,,,,0,42780,4,5,-1,71.86,0,1.77,FB,0,0,0,-10.99,0,5.08,-6.46,0.033691693,16,-10.4003,16.09,10,,,,MiniCap
ANIKINDS,HWLV,FMCG-FOOD,#N/A,#N/A,34.85,#N/A,#N/A,#N/A,#N/A,#N/A,-9%,,29%,36%,24%,,36.45,4%,1.44,29,36.45,4%,42780,5.5797,63.488,57.9083,,,0,0.8329,94.4552,-31.8001,1.2518,1.2745,Y,,Y,1.44,42780,9,9,0,0,0,0.46,,0,0.3,34.03,-11.46,0.45,0.46,2.01,0.0029505,97,5.5797,27.7535,10,,,,MiniCap
ANKITMETAL,Exit,METALS AND MINING,#N/A,#N/A,1.75,#N/A,#N/A,#N/A,#N/A,#N/A,13%,6%,-8%,-5%,0%,TB,2.1,17%,0,-0.062233286,2.75,36%,42780,-357.2035,-232.9866,124.2169,,,0,-99.1011,-58.3312,-75.5543,-158.1291,-82.8131,,,,0,42780,0,0,,100,0,-118.49,FB,0,-7.03,-4.14,-5.36,-11.21,-6.78,-29.26,0.018772624,25,-357.2035,141.1105,10,,,,MiniCap
ANSALAPI,Exit,REALTY,#N/A,#N/A,30.55,#N/A,#N/A,#N/A,#N/A,#N/A,-11%,121%,100%,104%,102%,,28.5,-7%,20.87,-152.75,32.9,7%,42773,0.75,-1.7,-2.45,,,0,-2.79,-0.42,1.51,-9.25,6.36,,,,20.87,42773,18,23,-5,96.5,0,0.77,FB,0,-0.05,-0.05,0.12,-0.59,0.4,0.15,0.396257277,481,0.75,78.7,5,,,,MiniCap
ANSALHSG,HWLV,REALTY,#N/A,#N/A,32.55,1.38,34.05,32.6,0.044052863,-0.001533742,25%,90%,33%,44%,33%,,36,10%,24.79,74,36,10%,42776,12.8832,4.8265,-8.0567,,,0,0.6546,1.6122,2.5597,2.9859,4.7361,,,,24.79,42776,7,7,0,44.65,1.84,1.03,,0,0.11,0.27,0.43,0.5,0.8,2.17,0.153713382,193,12.8832,59.3858,10,,,,MiniCap
ANTGRAPHIC,Exit,MEDIA-ENTERTAINMENT,#N/A,#N/A,1.2,#N/A,#N/A,#N/A,#N/A,#N/A,86%,20%,-11%,-8%,-8%,,1.65,27%,108.11,#DIV/0!,1.65,27%,42770,0.1791,0.24,0.0609,,,0,0.0663,0.0626,0.1111,-0.0673,0.0538,Y,,Y,108.11,42770,0,0,,0,0,0.1,FB,0,0,0,0,0,0,0,0.008598378,19,0.1791,15.501,1,,,,MiniCap
APARINDS,Buy,INFRA-MACHINERY EQUIPMENT,0,0,831.2,-1.33,837.6,817.1,0.007640879,0.01725615,66%,49%,35%,13%,11%,,883.3,6%,18.59,18,883.3,6%,42767,163.55,134.57,-28.98,G,,0,43.29,45.66,45.62,36.88,68.02,Y,,Y,18.59,42767,101,77,24,0,0.78,0.4,,0,11.25,11.86,11.85,9.58,17.67,42.29,2.158796407,3181,163.55,38.5,10,,,RISKY,SmallCap
APCL,NL,0,#N/A,#N/A,243.05,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,275.35,12%,17.86,#DIV/0!,275.35,12%,0,0,0,0,,,0,0,0,0,0,0,,,,17.86,0,5,0,5,0,0,1.14,,0,0,0,0,0,0,0,0.1,615,0,0,10,APCL,,,MiniCap
APCOTEXIND,BWLV,AUTO-AUTO ANCL AND COMPONENTS,#N/A,#N/A,372.2,-0.91,381.9,366,0.025399319,0.016939891,52%,31%,20%,17%,16%,,394,6%,20.64,38,434,14%,,38.5306,12.454,-26.0766,,,3.529,5.1504,2.7415,4.5621,8.5637,4.6752,Y,,Y,20.64,42860,16,16,0,0,0,0.09,,1.7,2.48,1.32,2.2,4.13,2.25,18.58,0.213299848,772,38.5306,10.408,5,,,,MiniCap
APLAPOLLO,HWV,INFRA-MACHINERY EQUIPMENT,steel,down,1459.55,-2.89,1487.9,1412.55,0.0190537,0.033273158,76%,67%,39%,35%,24%,,1500,3%,26.05,29,1505,3%,42763,100.58,104.66,4.08,G,,0,29.56,33.66,41.44,27.5,31.1459,Y,,Y,26.05,42763,8,11,-3,0,0.68,1.05,,0,12.58,14.35,17.68,11.73,13.29,42.91,3.672085115,3443,100.58,23.59,10,,,,SmallCap
APLLTD,Buy,PHARMA,0,0,600.6,1.07,612,600.9,0.018627451,-0.000499251,7%,0%,9%,4%,-4%,TB,648,7%,28.06,33,699,14%,,719.59,311.56,-408.03,,,95.34,84.39,123.54,103.63,91.63,269.6,,Y,Y,28.06,42858,137,145,-8,0,0.66,0.08,,4.94,4.59,6.36,5.41,4.84,14.3,38.16,3.440830294,11322,719.59,37.7,2,,,,MidCap
APOLLOHOSP,Exit,PHARMA,#N/A,#N/A,1304.6,1.2,1330,1301.7,0.019097744,0.002227856,-11%,17%,6%,0%,12%,,1343.95,3%,58.06,62.36137667,1443,10%,42780,316.15,236.99,-79.16,,,0,72.83,91.99,72.17,75.69,122.33,Y,,Y,58.06,42780,521,488,33,67.86,0.45,0.72,FB,0,5.23,6.61,5.19,5.44,8.79,23.79,47.22383574,18150,316.15,69.56,5,,,,LargeCap
APOLLOTYRE,Buy,AUTO-TYRES AND TUBES,#N/A,#N/A,231.65,-0.3,235.4,230.35,0.015930331,0.005643586,22%,29%,31%,23%,11%,,254.25,9%,10.71,10,254.25,9%,,1093.673,870.426,-223.247,G,,228.239,295.696,260.039,314.691,249.909,280.394,Y,,Y,10.71,42860,366,367,-1,16.44,1.29,0.22,,4.48,5.81,5.11,6.18,4.91,5.48,21.49,48.98332726,11792,1093.673,50.902,1,,,,MidCap
APOLSINHOT,Exit,ENTERTAINMENT-HOTELS AND LEISURE,#N/A,#N/A,710,#N/A,#N/A,#N/A,#N/A,#N/A,,91%,84%,16%,,,749,5%,23.07,15,749,5%,42866,0.9687,4.6826,3.7139,,,0,1.4996,2.1177,1.0653,-0.6805,-3.1947,Y,,Y,23.07,42866,0,0,,0,0,0.23,FB,0,11.53,16.29,8.19,0,-18.64,0,0.011900507,92,0.9687,1.3002,10,,,,MiniCap
APTECHT,RS,IT,0,0,216.8,-0.39,221.45,215.1,0.020997968,0.007903301,310%,54%,18%,-8%,-6%,,250.75,14%,70.65,70,250.75,14%,42759,10.19,7.36,-2.83,,,0,3.07,5.05,-0.76,1.73,4.88,Y,,Y,70.65,42759,28,28,0,0,0.46,0,FB,0,0.77,1.27,-0.19,0.43,1.22,2.55,18.50388855,865,10.19,39.89,10,,,,MiniCap
ARCHIDPLY,HWLV,REALTY-HOUSEHOLD,#N/A,#N/A,78.65,-1.78,79.85,76.8,0.015028178,0.024088542,57%,57%,31%,2%,13%,,85.5,8%,26.88,24,85.5,8%,42885,6.0133,5.0441,-0.9692,,,0,2.022,1.518,1.5041,1.3996,1.5219,Y,,Y,26.88,42885,2,2,0,0,0,0.37,,0,0.81,0.69,0.68,0.63,0.69,2.73,0.61375031,174,6.0133,22.065,10,,,,MiniCap
ARCHIES,TA,FMCG,#N/A,#N/A,32.4,#N/A,#N/A,#N/A,#N/A,#N/A,18%,43%,36%,38%,39%,,40.1,19%,0,203,40.1,19%,42880,2.8927,-1.9472,-4.8399,,,0,0.1444,-1.1408,-0.9508,0.4062,0.8384,,Y,Y,0,42880,7,7,0,0,0,0.13,,0,0.04,-0.34,-0.28,0.12,0.25,0.86,0.264619855,109,2.8927,6.756,2,,,,MiniCap
ARCOTECH,Buy,METALS AND MINING,0,0,402.05,-0.09,418,401,0.038157895,0.002618454,40%,-7%,-29%,-46%,-24%,TB,812.95,51%,24.02,27.01948925,812.95,51%,42780,36.4745,25.2786,-11.1959,,,0,7.8061,7.735,9.7375,9.8665,9.491,Y,,Y,24.02,42780,14,11,3,8.26,0.37,1.46,,0,3.72,3.68,4.64,4.7,4.51,17.37,13.48882723,844,36.4745,21,10,,,RISKY,MiniCap
ARIES,HWV,CHEMICALS,#N/A,#N/A,159.7,-0.41,162.7,159,0.018438844,0.004402516,80%,6%,-4%,1%,3%,,195.95,18%,48.09,#DIV/0!,195.95,18%,42776,8.1626,9.3196,1.157,,,0,1.753,6.6791,0.8875,-6.5105,8.3924,,Y,Y,48.09,42776,2,3,-1,0,0.93,0.93,,0,0,4.8,0.78,-4.17,0,5.72,2.387602864,208,8.1626,13.0043,10,,,,MiniCap
ARIHANT,HWLV,REALTY,#N/A,#N/A,63,#N/A,#N/A,#N/A,#N/A,#N/A,30%,15%,12%,21%,35%,,63,0%,39.28,51,82.4,24%,42780,-12.1541,0.9143,13.0684,,,0,0.2692,0.308,0.3371,0.4548,0.3572,Y,,Y,39.28,42780,3,3,0,0,0,1.47,,0,0.31,0.36,0.39,0.53,0.42,0,0.011171999,54,-12.1541,8.6,10,,,,MiniCap
ARIHANTSUP,NL,REALTY,#N/A,#N/A,165.05,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,37%,,171.15,4%,44.55,34,171.15,4%,42882,0,5.1347,5.1347,G,,0,5.1347,0,0,0,0,Y,,Y,44.55,42882,1,1,0,0,0.54,2.81,,0,1.21,0,0,0,0,0,10.4,679,0,41.16,10,ARIHANTSUP,,,MiniCap
ARMANFIN,NL,FINANCIAL SERVICES,#N/A,#N/A,193.95,#N/A,#N/A,#N/A,#N/A,#N/A,,14%,7%,-14%,4%,,261.9,26%,14.16,19,297,35%,42776,7.9977,7.0794,-0.9183,,,0,1.7219,2.4832,2.8743,2.5425,1.3874,Y,,Y,14.16,42776,3,5,-2,0,0.72,1.85,,0,2.49,3.59,3.87,3.39,2,11.27,0.373521868,134,7.9977,6.9247,10,ARMANFIN,,,MiniCap
AROGRANITE,HWLV,REALTY-HOUSEHOLD,0,0,75.25,-1.13,75.5,74.25,0.003311258,0.013468013,92%,15%,3%,1%,-4%,,89.9,16%,9.09,10,91.5,18%,,5.8614,11.107,5.2456,,,1.5167,2.7752,3.3277,5.0041,2.0032,-0.3907,Y,,Y,9.09,42847,3,1,2,0,1.32,0.73,,0.99,1.81,2.17,3.27,1.31,-0.26,3.83,0.399327071,115,5.8614,15.3,10,,,,MiniCap
ARROWGREEN,#N/A,FMCG-PACKAGING,#N/A,#N/A,501.7,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,18.38,19.97213376,583,14%,42779,31.0427,23.9625,-7.0802,G,,0,7.4806,8.2819,8.2,8.6113,7.2156,Y,,Y,18.38,42779,10,10,0,0,0.89,0,,0,6.28,6.96,6.87,7.12,6.02,25.87,#N/A,589,31.0427,11.7399,10,,,,MiniCap
ARROWTEX,HWLV,TEXTILES AND APPAREL,#N/A,#N/A,47.75,-0.63,48.5,47.4,0.015463918,0.007383966,36%,35%,25%,6%,9%,TB,56,15%,28.3,60,56,15%,42870,5.3135,1.6107,-3.7028,,,0,0.3718,0.9272,0.3117,1.594,1.4207,,,,28.3,42870,3,2,1,0,2.09,0.13,,0,0.2,0.49,0.16,0.84,0.75,2.79,0.314250803,91,5.3135,19.0439,10,,,,MiniCap
ARSHIYA,Exit,TRANSPORTATION LOGISTICS,#N/A,#N/A,68.5,#N/A,#N/A,#N/A,#N/A,#N/A,130%,149%,80%,16%,4%,,82.9,17%,0,-3,82.9,17%,42873,-603.7525,-289.3556,314.3969,,,0,-95.0068,-98.554,-95.7948,-283.6995,-92.6224,,,,0,42873,4,3,1,100,0,-0.75,FB,0,-6.08,-6.31,-6.13,0,-6.24,-42.54,1.278153827,1070,-603.7525,31.2359,2,,,,SmallCap
ARSSINFRA,Exit,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,0,0,77.75,0.32,79.65,77.35,0.023854363,0.005171299,116%,27%,12%,21%,14%,,86.35,10%,0,0,113.9,32%,42777,5.0173,-319.2657,-324.283,,,0,-206.9147,-56.3964,-55.9546,28.8856,-25.0912,,,,0,42777,3,2,1,97.13,0,4.61,FB,0,-91,-24.8,-24.61,12.7,-0.33,2.21,1.263373558,115,5.0173,14.8432,10,,,,MiniCap
ARVIND,HWV,TEXTILES AND APPAREL,#N/A,#N/A,420.9,-0.8,426.85,411.9,0.013939323,0.021849964,46%,31%,16%,11%,7%,,425.55,1%,32.84,36,426.45,1%,42866,364.83,222.35,-142.48,,,0,75.2,76.15,71,110.83,91.56,Y,,Y,32.84,42866,387,386,1,4.99,0.57,1.21,,0,2.92,2.78,2.84,4.27,3.5,14.04,57.83949522,10874,364.83,258.36,10,,,,MidCap
ARVSMART,Exit,REALTY,#N/A,#N/A,129.55,#N/A,#N/A,#N/A,#N/A,#N/A,,,,86%,50%,,114.4,-13%,16.9,-64.775,131.6,2%,42867,0,0.5401,0.5401,,,0,-1.6038,2.1439,0,0,0,,,,16.9,42867,150,159,-9,0.31,0,0.35,FB,0,-0.5,0.81,0,0,0,0,1.49,368,0,25.8243,10,,,,MiniCap
ASAHIINDIA,RS,AUTO-AUTOMOBILES AND AUTO PARTS,0,0,232.25,3.34,241.4,233.3,0.037903894,-0.004500643,47%,36%,18%,10%,7%,,231.7,0%,54.15,63,236.9,2%,42781,82.04,76.3,-5.74,G,,0,20.98,32.11,23.21,22.72,21.26,Y,,Y,54.15,42781,82,81,1,7.52,0.25,2.97,FB,0,0.92,1.37,1.03,0.97,0.91,3.58,1.343534473,5646,82.04,24.31,1,,,,MidCap
ASAHISONG,HWLV,CHEMICALS,0,0,312,0.08,314.45,308.1,0.007791382,0.012658228,116%,48%,24%,26%,12%,,337.4,8%,16.79,15,337.4,8%,42881,20.9827,16.2605,-4.7222,G,,0,6.4925,7.0254,2.7426,6.377,4.1531,Y,,Y,16.79,42881,3,3,0,0,0.64,0.31,,0,5.29,5.72,2.23,5.2,3.38,17.1,0.710990509,383,20.9827,12.2723,10,,,,MiniCap
ASAL,TA,AUTO-AUTOMOBILES AND AUTO PARTS,#N/A,#N/A,67.6,#N/A,#N/A,#N/A,#N/A,#N/A,,24%,1%,0%,-8%,,79.9,15%,0,5,79.9,15%,,-20.6926,-1.506,19.1866,G,,-1.3646,5.9228,-4.4371,-2.9917,-0.6761,-7.9024,Y,,Y,0,42853,2,3,-1,0,0,3.2,,-0.86,3.73,-2.8,-1.89,-0.43,-4.98,-13.04,0.187080947,107,-20.6926,15.8644,10,,,,MiniCap
ASHAPURMIN,Exit,METALS AND MINING,#N/A,#N/A,67.8,#N/A,#N/A,#N/A,#N/A,#N/A,-5%,14%,4%,-1%,-2%,TB,83.4,19%,48.76,-11.85314685,85.4,21%,42780,153.0208,10.1677,-142.8531,,,0,-11.9266,9.7466,12.3477,0.3275,42.5246,,,,48.76,42780,24,24,0,0,0,9.32,FB,0,-1.43,1.25,1.6,-0.03,5.34,18.66,0.714382408,590,153.0208,17.3972,2,,,,MiniCap
ASHIANA,Buy,REALTY,#N/A,#N/A,234.5,-1.07,238,230.55,0.014705882,0.017132943,79%,77%,61%,34%,4%,,249.15,6%,16.78,38,249.15,6%,42780,129.55,33.24,-96.31,,,0,15.93,20.85,-3.54,109.28,0.1,Y,,Y,16.78,42780,21,24,-3,0,0.21,0.1,,0,1.56,2.02,-0.36,10.68,0.01,12.66,1.937386929,2400,129.55,20.4704,2,,,,SmallCap
